troomt"object"t"subset"t"dataset_prob"tscore
0tbedtpillowtbedt1.0t0.0
1tbedt"bolster"tbedt1.0t0.0
2tbedt"mattress cover"tbedt1.0t0.0
3tbedtlegtbedt1.0t0.0
4tbedtbox springtbedt1.0t0.0
5tbedtheadboardtbedt1.0t0.0
6tbedt"mattress"tbedt1.0t0.0
7tbedt"pillow protector"tbedt1.0t0.0
8tbedt"elastic"tbedt1.0t0.0
9tbedt"footboard"tbedt1.0t0.0
10tbedt"switch"t"refrigerator"t0.0t0.0
11tbedt"refrigerator compartment"t"refrigerator"t0.0t0.0
12tbedt"egg tray"t"refrigerator"t0.0t0.0
13tbedtshelf channelt"refrigerator"t0.0t0.0
14tbedt"magnetic gasket"t"refrigerator"t0.0t0.0
15tbedt"storage door"t"refrigerator"t0.0t0.0
16tbedtfreezer doort"refrigerator"t0.0t0.0
17tbedtguard railt"refrigerator"t0.0t0.0
18tbedtcrispert"refrigerator"t0.0t0.0
19tbedtglass covert"refrigerator"t0.0t0.0
20tbedt"butter compartment"t"refrigerator"t0.0t0.0
21tbedt"thermostat control"t"refrigerator"t0.0t0.0
22tbedt"freezer compartment"t"refrigerator"t0.0t0.0
23tbedt"ice cube tray"t"refrigerator"t0.0t0.0
24tbedt"meat keeper"t"refrigerator"t0.0t0.0
25tbedt"door stop"t"refrigerator"t0.0t0.0
26tbedtshelft"refrigerator"t0.0t0.0
27tbedt"dairy compartment"t"refrigerator"t0.0t0.0
28tbedtdoor shelft"refrigerator"t0.0t0.0
29tbedtdrain hosetdishwashert0.0t0.0
30tbedt"overflow protection switch"tdishwashert0.0t0.0
31tbedt"tub"tdishwashert0.0t0.0
32tbedtpumptdishwashert0.0t0.0
33tbedt"gasket"tdishwashert0.0t0.0
34tbedt"water hose"tdishwashert0.0t0.0
35tbedt"heating element"tdishwashert0.0t0.0
36tbedtracktdishwashert0.0t0.0
37tbedt"cutlery basket"tdishwashert0.0t0.0
38tbedt"wash tower"tdishwashert0.0t0.0
39tbedt"motor"tdishwashert0.0t0.0
40tbedt"detergent dispenser"tdishwashert0.0t0.0
41tbedtslidetdishwashert0.0t0.0
42tbedt"leveling foot"tdishwashert0.0t0.0
43tbedt"insulating material"tdishwashert0.0t0.0
44tbedtspray armtdishwashert0.0t0.0
45tbedtrinse-aid dispensertdishwashert0.0t0.0
46tbedtlocktdoort0.0t0.0
47tbedtcornicetdoort0.0t0.0
48tbedt"hanging stile"tdoort0.0t0.0
49tbedt"entablature"tdoort0.0t0.0
50tbedt"top rail"tdoort0.0t0.0
51tbedtmiddle paneltdoort0.0t0.0
52tbedt"bottom rail"tdoort0.0t0.0
53tbedtpaneltdoort0.0t0.0
54tbedtjambtdoort0.0t0.0
55tbedtdoorknobtdoort0.0t0.0
56tbedt"threshold"tdoort0.0t0.0
57tbedt"weatherboard"tdoort0.0t0.0
58tbedtlock railtdoort0.0t0.0
59tbedt"shutting stile"tdoort0.0t0.0
60tbedtheadertdoort0.0t0.0
61tbedtringt"mortise lock"t0.0t0.0
62tbedtkeywayt"mortise lock"t0.0t0.0
63tbedt"cotter pin"t"mortise lock"t0.0t0.0
64tbedtspringt"mortise lock"t0.0t0.0
65tbedt"rotor"t"mortise lock"t0.0t0.0
66tbedtcylinder caset"mortise lock"t0.0t0.0
67tbedtkeyt"mortise lock"t0.0t0.0
68tbedt"faceplate"t"mortise lock"t0.0t0.0
69tbedt"dead bolt"t"mortise lock"t0.0t0.0
70tbedtcylindert"mortise lock"t0.0t0.0
71tbedt"stator"t"mortise lock"t0.0t0.0
72tbedt"strike plate"t"mortise lock"t0.0t0.0
73tbedt"valve seat shaft"t"toilet"t0.0t0.0
74tbedt"tank lid"t"toilet"t0.0t0.0
75tbedtconical washert"toilet"t0.0t0.0
76tbedt"lift chain"t"toilet"t0.0t0.0
77tbedt"seat"t"toilet"t0.0t0.0
78tbedt"shutoff valve"t"toilet"t0.0t0.0
79tbedt"trip lever"t"toilet"t0.0t0.0
80tbedtball-cock supply valvet"toilet"t0.0t0.0
81tbedt"toilet bowl"t"toilet"t0.0t0.0
82tbedtflush handlet"toilet"t0.0t0.0
83tbedtwax sealt"toilet"t0.0t0.0
84tbedt"tank ball"t"toilet"t0.0t0.0
85tbedt"float ball"t"toilet"t0.0t0.0
86tbedt"filler tube"t"toilet"t0.0t0.0
87tbedt"waste pipe"t"toilet"t0.0t0.0
88tbedt"seat cover"t"toilet"t0.0t0.0
89tbedt"cold-water supply line"t"toilet"t0.0t0.0
90tbedt"overflow tube"t"toilet"t0.0t0.0
91tbedt"trap"t"toilet"t0.0t0.0
92tbedt"refill tube"t"toilet"t0.0t0.0
93t"refrigerator"tpillowtbedt0.0t0.0
94t"refrigerator"t"bolster"tbedt0.0t0.0
95t"refrigerator"t"mattress cover"tbedt0.0t0.0
96t"refrigerator"tlegtbedt0.0t0.0
97t"refrigerator"tbox springtbedt0.0t0.0
98t"refrigerator"theadboardtbedt0.0t0.0
99t"refrigerator"t"mattress"tbedt0.0t0.0
100t"refrigerator"t"pillow protector"tbedt0.0t0.0
101t"refrigerator"t"elastic"tbedt0.0t0.0
102t"refrigerator"t"footboard"tbedt0.0t0.0
103t"refrigerator"t"switch"t"refrigerator"t1.0t0.0
104t"refrigerator"t"refrigerator compartment"t"refrigerator"t1.0t0.0
105t"refrigerator"t"egg tray"t"refrigerator"t1.0t0.0
106t"refrigerator"tshelf channelt"refrigerator"t1.0t0.0
107t"refrigerator"t"magnetic gasket"t"refrigerator"t1.0t0.0
108t"refrigerator"t"storage door"t"refrigerator"t1.0t0.0
109t"refrigerator"tfreezer doort"refrigerator"t1.0t0.0
110t"refrigerator"tguard railt"refrigerator"t1.0t0.0
111t"refrigerator"tcrispert"refrigerator"t1.0t0.0
112t"refrigerator"tglass covert"refrigerator"t1.0t0.0
113t"refrigerator"t"butter compartment"t"refrigerator"t1.0t0.0
114t"refrigerator"t"thermostat control"t"refrigerator"t1.0t0.0
115t"refrigerator"t"freezer compartment"t"refrigerator"t1.0t0.0
116t"refrigerator"t"ice cube tray"t"refrigerator"t1.0t0.0
117t"refrigerator"t"meat keeper"t"refrigerator"t1.0t0.0
118t"refrigerator"t"door stop"t"refrigerator"t1.0t0.0
119t"refrigerator"tshelft"refrigerator"t1.0t0.0
120t"refrigerator"t"dairy compartment"t"refrigerator"t1.0t0.0
121t"refrigerator"tdoor shelft"refrigerator"t1.0t0.0
122t"refrigerator"tdrain hosetdishwashert0.0t0.0
123t"refrigerator"t"overflow protection switch"tdishwashert0.0t0.0
124t"refrigerator"t"tub"tdishwashert0.0t0.0
125t"refrigerator"tpumptdishwashert0.0t0.0
126t"refrigerator"t"gasket"tdishwashert0.0t0.0
127t"refrigerator"t"water hose"tdishwashert0.0t0.0
128t"refrigerator"t"heating element"tdishwashert0.0t0.0
129t"refrigerator"tracktdishwashert0.0t0.0
130t"refrigerator"t"cutlery basket"tdishwashert0.0t0.0
131t"refrigerator"t"wash tower"tdishwashert0.0t0.0
132t"refrigerator"t"motor"tdishwashert0.0t0.0
133t"refrigerator"t"detergent dispenser"tdishwashert0.0t0.0
134t"refrigerator"tslidetdishwashert0.0t0.0
135t"refrigerator"t"leveling foot"tdishwashert0.0t0.0
136t"refrigerator"t"insulating material"tdishwashert0.0t0.0
137t"refrigerator"tspray armtdishwashert0.0t0.0
138t"refrigerator"trinse-aid dispensertdishwashert0.0t0.0
139t"refrigerator"tlocktdoort0.0t0.0
140t"refrigerator"tcornicetdoort0.0t0.0
141t"refrigerator"t"hanging stile"tdoort0.0t0.0
142t"refrigerator"t"entablature"tdoort0.0t0.0
143t"refrigerator"t"top rail"tdoort0.0t0.0
144t"refrigerator"tmiddle paneltdoort0.0t0.0
145t"refrigerator"t"bottom rail"tdoort0.0t0.0
146t"refrigerator"tpaneltdoort0.0t0.0
147t"refrigerator"tjambtdoort0.0t0.0
148t"refrigerator"tdoorknobtdoort0.0t0.0
149t"refrigerator"t"threshold"tdoort0.0t0.0
150t"refrigerator"t"weatherboard"tdoort0.0t0.0
151t"refrigerator"tlock railtdoort0.0t0.0
152t"refrigerator"t"shutting stile"tdoort0.0t0.0
153t"refrigerator"theadertdoort0.0t0.0
154t"refrigerator"tringt"mortise lock"t0.0t0.0
155t"refrigerator"tkeywayt"mortise lock"t0.0t0.0
156t"refrigerator"t"cotter pin"t"mortise lock"t0.0t0.0
157t"refrigerator"tspringt"mortise lock"t0.0t0.0
158t"refrigerator"t"rotor"t"mortise lock"t0.0t0.0
159t"refrigerator"tcylinder caset"mortise lock"t0.0t0.0
160t"refrigerator"tkeyt"mortise lock"t0.0t0.0
161t"refrigerator"t"faceplate"t"mortise lock"t0.0t0.0
162t"refrigerator"t"dead bolt"t"mortise lock"t0.0t0.0
163t"refrigerator"tcylindert"mortise lock"t0.0t0.0
164t"refrigerator"t"stator"t"mortise lock"t0.0t0.0
165t"refrigerator"t"strike plate"t"mortise lock"t0.0t0.0
166t"refrigerator"t"valve seat shaft"t"toilet"t0.0t0.0
167t"refrigerator"t"tank lid"t"toilet"t0.0t0.0
168t"refrigerator"tconical washert"toilet"t0.0t0.0
169t"refrigerator"t"lift chain"t"toilet"t0.0t0.0
170t"refrigerator"t"seat"t"toilet"t0.0t0.0
171t"refrigerator"t"shutoff valve"t"toilet"t0.0t0.0
172t"refrigerator"t"trip lever"t"toilet"t0.0t0.0
173t"refrigerator"tball-cock supply valvet"toilet"t0.0t0.0
174t"refrigerator"t"toilet bowl"t"toilet"t0.0t0.0
175t"refrigerator"tflush handlet"toilet"t0.0t0.0
176t"refrigerator"twax sealt"toilet"t0.0t0.0
177t"refrigerator"t"tank ball"t"toilet"t0.0t0.0
178t"refrigerator"t"float ball"t"toilet"t0.0t0.0
179t"refrigerator"t"filler tube"t"toilet"t0.0t0.0
180t"refrigerator"t"waste pipe"t"toilet"t0.0t0.0
