troomt"object"t"subset"t"dataset_prob"tscore
0tbedtpillowtbedt1.0t0.7641947
1tbedt"bolster"tbedt1.0t0.34541422
2tbedt"mattress cover"tbedt1.0t0.8030723
3tbedtlegtbedt1.0t0.54783154
4tbedtbox springtbedt1.0t0.53561133
5tbedtheadboardtbedt1.0t0.72792685
6tbedt"mattress"tbedt1.0t0.82254386
7tbedt"pillow protector"tbedt1.0t0.67975664
8tbedt"elastic"tbedt1.0t0.43186432
9tbedt"footboard"tbedt1.0t0.6916513
10tbedt"switch"t"refrigerator"t0.0t0.51875806
11tbedt"refrigerator compartment"t"refrigerator"t0.0t0.60045904
12tbedt"egg tray"t"refrigerator"t0.0t0.64666975
13tbedtshelf channelt"refrigerator"t0.0t0.50462395
14tbedt"magnetic gasket"t"refrigerator"t0.0t0.54335725
15tbedt"storage door"t"refrigerator"t0.0t0.6115974
16tbedtfreezer doort"refrigerator"t0.0t0.5999322
17tbedtguard railt"refrigerator"t0.0t0.54064286
18tbedtcrispert"refrigerator"t0.0t0.44846964
19tbedtglass covert"refrigerator"t0.0t0.5995121
20tbedt"butter compartment"t"refrigerator"t0.0t0.532132
21tbedt"thermostat control"t"refrigerator"t0.0t0.5018261
22tbedt"freezer compartment"t"refrigerator"t0.0t0.588678
23tbedt"ice cube tray"t"refrigerator"t0.0t0.6075859
24tbedt"meat keeper"t"refrigerator"t0.0t0.5646646
25tbedt"door stop"t"refrigerator"t0.0t0.5552352
26tbedtshelft"refrigerator"t0.0t0.5889014
27tbedt"dairy compartment"t"refrigerator"t0.0t0.5216924
28tbedtdoor shelft"refrigerator"t0.0t0.57379574
29tbedtdrain hosetdishwashert0.0t0.5355556
30tbedt"overflow protection switch"tdishwashert0.0t0.48739284
31tbedt"tub"tdishwashert0.0t0.69369036
32tbedtpumptdishwashert0.0t0.5567625
33tbedt"gasket"tdishwashert0.0t0.5449476
34tbedt"water hose"tdishwashert0.0t0.60278475
35tbedt"heating element"tdishwashert0.0t0.57391477
36tbedtracktdishwashert0.0t0.5701239
37tbedt"cutlery basket"tdishwashert0.0t0.5909595
38tbedt"wash tower"tdishwashert0.0t0.5453995
39tbedt"motor"tdishwashert0.0t0.5750965
40tbedt"detergent dispenser"tdishwashert0.0t0.5154141
41tbedtslidetdishwashert0.0t0.5503642
42tbedt"leveling foot"tdishwashert0.0t0.54803586
43tbedt"insulating material"tdishwashert0.0t0.4302379
44tbedtspray armtdishwashert0.0t0.5584096
45tbedtrinse-aid dispensertdishwashert0.0t0.54980874
46tbedtlocktdoort0.0t0.56509787
47tbedtcornicetdoort0.0t0.44954115
48tbedt"hanging stile"tdoort0.0t0.5551169
