troomt"object"t"subset"t"dataset_prob"tscore
0tbedtpillowtbedt1.0t0.993160659188138
1tbedt"bolster"tbedt1.0t0.9762597654545069
2tbedt"mattress cover"tbedt1.0t0.9922867656607353
3tbedtlegtbedt1.0t0.9909961329053747
4tbedtbox springtbedt1.0t0.9817032307443542
5tbedtheadboardtbedt1.0t0.9858443002491967
6tbedt"mattress"tbedt1.0t0.9918332596818041
7tbedt"pillow protector"tbedt1.0t0.9905576365125323
8tbedt"elastic"tbedt1.0t0.9675448330922953
9tbedt"footboard"tbedt1.0t0.9572349261636015
10tbedt"switch"t"refrigerator"t0.0t0.974737095303524
11tbedt"refrigerator compartment"t"refrigerator"t0.0t0.9518462069327774
12tbedt"egg tray"t"refrigerator"t0.0t0.9760457072070964
13tbedtshelf channelt"refrigerator"t0.0t0.967448543409978
14tbedt"magnetic gasket"t"refrigerator"t0.0t0.9918653346313684
15tbedt"storage door"t"refrigerator"t0.0t0.9935202347347056
16tbedtfreezer doort"refrigerator"t0.0t0.9913537884675738
17tbedtguard railt"refrigerator"t0.0t0.9800662452202125
18tbedtcrispert"refrigerator"t0.0t0.9842376374996565
19tbedtglass covert"refrigerator"t0.0t0.9920531482345026
20tbedt"butter compartment"t"refrigerator"t0.0t0.985876585930659
21tbedt"thermostat control"t"refrigerator"t0.0t0.9651751599315825
22tbedt"freezer compartment"t"refrigerator"t0.0t0.9808338129538604
23tbedt"ice cube tray"t"refrigerator"t0.0t0.9829784231855219
24tbedt"meat keeper"t"refrigerator"t0.0t0.992425605144405
25tbedt"door stop"t"refrigerator"t0.0t0.9857351869933054
26tbedtshelft"refrigerator"t0.0t0.9651975620007558
27tbedt"dairy compartment"t"refrigerator"t0.0t0.9679210228299724
28tbedtdoor shelft"refrigerator"t0.0t0.9980433082686843
29tbedtdrain hosetdishwashert0.0t0.9935132826707018
30tbedt"overflow protection switch"tdishwashert0.0t0.9733008172467875
31tbedt"tub"tdishwashert0.0t0.9791553580221478
32tbedtpumptdishwashert0.0t0.989362206336084
33tbedt"gasket"tdishwashert0.0t0.9764039559230198
34tbedt"water hose"tdishwashert0.0t0.9922233476290666
35tbedt"heating element"tdishwashert0.0t0.9775793422469111
36tbedtracktdishwashert0.0t0.9794120822204734
37tbedt"cutlery basket"tdishwashert0.0t0.9686240680586627
38tbedt"wash tower"tdishwashert0.0t0.9900839865527056
39tbedt"motor"tdishwashert0.0t0.9852634261344749
40tbedt"detergent dispenser"tdishwashert0.0t0.9700027557365607
41tbedtslidetdishwashert0.0t0.987944749363322
