troomt"object"t"subset"t"dataset_prob"tscore
0tbedtpillowtbedt1.0t0.43672113816348296
1tbedt"bolster"tbedt1.0t0.07540252012044292
2tbedt"mattress cover"tbedt1.0t0.3471087671640476
3tbedtlegtbedt1.0t0.1133773129820302
4tbedtbox springtbedt1.0t0.09661259076875604
5tbedtheadboardtbedt1.0t0.3528385051532409
6tbedt"mattress"tbedt1.0t0.4898743722693079
7tbedt"pillow protector"tbedt1.0t0.343554337487687
8tbedt"elastic"tbedt1.0t0.02708452896038303
9tbedt"footboard"tbedt1.0t0.2307010694309988
10tbedt"switch"t"refrigerator"t0.0t0.16355015085033983
11tbedt"refrigerator compartment"t"refrigerator"t0.0t0.20245096304315024
12tbedt"egg tray"t"refrigerator"t0.0t0.1908391108434225
13tbedtshelf channelt"refrigerator"t0.0t0.20843625969146676
14tbedt"magnetic gasket"t"refrigerator"t0.0t0.09909903585482424
15tbedt"storage door"t"refrigerator"t0.0t0.18924644554383263
16tbedtfreezer doort"refrigerator"t0.0t0.1848270053049813
17tbedtguard railt"refrigerator"t0.0t0.1845407435790059
18tbedtcrispert"refrigerator"t0.0t0.04020877873531551
19tbedtglass covert"refrigerator"t0.0t0.1347762909381289
20tbedt"butter compartment"t"refrigerator"t0.0t0.19070843074956387
21tbedt"thermostat control"t"refrigerator"t0.0t0.08063910168813355
22tbedt"freezer compartment"t"refrigerator"t0.0t0.1564326554322229
23tbedt"ice cube tray"t"refrigerator"t0.0t0.1573683439777696
24tbedt"meat keeper"t"refrigerator"t0.0t0.1070881645849687
25tbedt"door stop"t"refrigerator"t0.0t0.14841775096088147
26tbedtshelft"refrigerator"t0.0t0.2084326039337225
27tbedt"dairy compartment"t"refrigerator"t0.0t0.16733192627279708
28tbedtdoor shelft"refrigerator"t0.0t0.22722547696512344
29tbedtdrain hosetdishwashert0.0t0.14264806454648257
30tbedt"overflow protection switch"tdishwashert0.0t0.17081496270915172
31tbedt"tub"tdishwashert0.0t0.3542849931250561
32tbedtpumptdishwashert0.0t0.03448746488353285
33tbedt"gasket"tdishwashert0.0t0.09812302801009794
34tbedt"water hose"tdishwashert0.0t0.11636359022113414
35tbedt"heating element"tdishwashert0.0t0.06274167737609418
36tbedtracktdishwashert0.0t0.11287607680609268
37tbedt"cutlery basket"tdishwashert0.0t0.1982365366389578
38tbedt"wash tower"tdishwashert0.0t0.2079141221179913
39tbedt"motor"tdishwashert0.0t0.06250667573153301
40tbedt"detergent dispenser"tdishwashert0.0t0.1214266027689663
41tbedtslidetdishwashert0.0t0.10413958403622782
42tbedt"leveling foot"tdishwashert0.0t0.13716177883025926
43tbedt"insulating material"tdishwashert0.0t0.11430457739016621
44tbedtspray armtdishwashert0.0t0.07119190841998363
45tbedtrinse-aid dispensertdishwashert0.0t0.05240065133946964
46tbedtlocktdoort0.0t0.1404905052024082
47tbedtcornicetdoort0.0t0.13174667442605661
48tbedt"hanging stile"tdoort0.0t0.18386260051744335
49tbedt"entablature"tdoort0.0t0.09894650068749439
50tbedt"top rail"tdoort0.0t0.15059634415748455
51tbedtmiddle paneltdoort0.0t0.1478707383401461
52tbedt"bottom rail"tdoort0.0t0.2011527716789613
53tbedtpaneltdoort0.0t0.12822101397368363
54tbedtjambtdoort0.0t0.13188371235947055
55tbedtdoorknobtdoort0.0t0.15878333415278822
56tbedt"threshold"tdoort0.0t0.03302826123260707
57tbedt"weatherboard"tdoort0.0t0.13919305558616737
58tbedtlock railtdoort0.0t0.20394855215039087
59tbedt"shutting stile"tdoort0.0t0.08675134319957004
60tbedtheadertdoort0.0t0.0437588903789781
61tbedtringt"mortise lock"t0.0t0.13211678016116699
62tbedtkeywayt"mortise lock"t0.0t0.07414226386560037
63tbedt"cotter pin"t"mortise lock"t0.0t0.12187300257873973
64tbedtspringt"mortise lock"t0.0t0.041656220383064074
65tbedt"rotor"t"mortise lock"t0.0t0.1266808008504246
66tbedtcylinder caset"mortise lock"t0.0t0.13120228441413778
67tbedtkeyt"mortise lock"t0.0t0.04414401651003775
68tbedt"faceplate"t"mortise lock"t0.0t0.07612530051388297
69tbedt"dead bolt"t"mortise lock"t0.0t0.1420302424283313
70tbedtcylindert"mortise lock"t0.0t0.15137414635407573
71tbedt"stator"t"mortise lock"t0.0t0.10216947499504088
72tbedt"strike plate"t"mortise lock"t0.0t0.2180604658092343
73tbedt"valve seat shaft"t"toilet"t0.0t0.1700388559364419
