troomt"object"t"subset"t"dataset_prob"tscore
0tbedtpillowtbedt1.0t-0.2292351950940216
1tbedt"bolster"tbedt1.0t-0.16871954694455235
2tbedt"mattress cover"tbedt1.0t-0.36159370270266133
3tbedtlegtbedt1.0t-0.126494817164059
4tbedtbox springtbedt1.0t-0.25790958288139243
5tbedtheadboardtbedt1.0t-0.2617674722613097
6tbedt"mattress"tbedt1.0t-0.2762257520641277
7tbedt"pillow protector"tbedt1.0t-0.26455970479806257
8tbedt"elastic"tbedt1.0t-0.18463284446872785
9tbedt"footboard"tbedt1.0t-0.2616561025450892
10tbedt"switch"t"refrigerator"t0.0t-0.10568239683903598
11tbedt"refrigerator compartment"t"refrigerator"t0.0t-0.288090457537992
12tbedt"egg tray"t"refrigerator"t0.0t-0.26781618968743115
13tbedtshelf channelt"refrigerator"t0.0t-0.12456369011342207
14tbedt"magnetic gasket"t"refrigerator"t0.0t-0.09150421013545687
15tbedt"storage door"t"refrigerator"t0.0t-0.31129721710656294
16tbedtfreezer doort"refrigerator"t0.0t-0.3671824246964045
17tbedtguard railt"refrigerator"t0.0t-0.3170809932967699
18tbedtcrispert"refrigerator"t0.0t-0.2736651006102712
19tbedtglass covert"refrigerator"t0.0t-0.20036014262910848
20tbedt"butter compartment"t"refrigerator"t0.0t-0.13873856471915674
21tbedt"thermostat control"t"refrigerator"t0.0t-0.07634620057397731
22tbedt"freezer compartment"t"refrigerator"t0.0t-0.36358379085807385
23tbedt"ice cube tray"t"refrigerator"t0.0t-0.34621766136044807
24tbedt"meat keeper"t"refrigerator"t0.0t-0.16948720761286076
25tbedt"door stop"t"refrigerator"t0.0t-0.37776614623996
26tbedtshelft"refrigerator"t0.0t-0.14824286218554533
27tbedt"dairy compartment"t"refrigerator"t0.0t-0.20556878020768762
28tbedtdoor shelft"refrigerator"t0.0t-0.29554163603481776
29tbedtdrain hosetdishwashert0.0t-0.2963683460241104
30tbedt"overflow protection switch"tdishwashert0.0t-0.163024513614574
31tbedt"tub"tdishwashert0.0t-0.0976752223491701
32tbedtpumptdishwashert0.0t-0.14399130410058456
33tbedt"gasket"tdishwashert0.0t-0.20394627078237254
34tbedt"water hose"tdishwashert0.0t-0.35238653127387887
35tbedt"heating element"tdishwashert0.0t-0.24488290692226877
36tbedtracktdishwashert0.0t-0.11247155771294522
37tbedt"cutlery basket"tdishwashert0.0t-0.19046999785408056
38tbedt"wash tower"tdishwashert0.0t-0.16766497226282845
39tbedt"motor"tdishwashert0.0t-0.11902353241660872
40tbedt"detergent dispenser"tdishwashert0.0t-0.0465781142635707
41tbedtslidetdishwashert0.0t-0.14036378782670997
42tbedt"leveling foot"tdishwashert0.0t-0.16564830052655782
43tbedt"insulating material"tdishwashert0.0t-0.19180275080111667
44tbedtspray armtdishwashert0.0t-0.21169014857932217
45tbedtrinse-aid dispensertdishwashert0.0t-0.08067547701609694
46tbedtlocktdoort0.0t-0.1898143491959798
47tbedtcornicetdoort0.0t-0.020873686506734386
48tbedt"hanging stile"tdoort0.0t-0.39845485558536375
49tbedt"entablature"tdoort0.0t-0.06810163852568095
50tbedt"top rail"tdoort0.0t-0.21520054678336958
51tbedtmiddle paneltdoort0.0t-0.11500831399798662
52tbedt"bottom rail"tdoort0.0t-0.20207204085452687
53tbedtpaneltdoort0.0t-0.029701537774388678
54tbedtjambtdoort0.0t-0.2311523387719086
55tbedtdoorknobtdoort0.0t-0.39422508862250055
56tbedt"threshold"tdoort0.0t-0.06306245053585499
57tbedt"weatherboard"tdoort0.0t-0.3105155130473051
58tbedtlock railtdoort0.0t-0.23476545971483906
59tbedt"shutting stile"tdoort0.0t-0.49189884780160503
60tbedtheadertdoort0.0t-0.10158317587345718
61tbedtringt"mortise lock"t0.0t-0.1953645715591996
62tbedtkeywayt"mortise lock"t0.0t-0.11348138342420536
63tbedt"cotter pin"t"mortise lock"t0.0t-0.309959651460808
64tbedtspringt"mortise lock"t0.0t-0.0530290939121765
65tbedt"rotor"t"mortise lock"t0.0t-0.06126910764297207
66tbedtcylinder caset"mortise lock"t0.0t-0.17302972172680545
67tbedtkeyt"mortise lock"t0.0t-0.07014676052416534
68tbedt"faceplate"t"mortise lock"t0.0t-0.20346760805312325
69tbedt"dead bolt"t"mortise lock"t0.0t-0.32356936787346907
70tbedtcylindert"mortise lock"t0.0t-0.01542900299566357
71tbedt"stator"t"mortise lock"t0.0t-0.11868992489675188
72tbedt"strike plate"t"mortise lock"t0.0t-0.15904388530857438
73tbedt"valve seat shaft"t"toilet"t0.0t-0.1968408532904707
74tbedt"tank lid"t"toilet"t0.0t-0.30214236712612424
75tbedtconical washert"toilet"t0.0t-0.1114032147788016
76tbedt"lift chain"t"toilet"t0.0t-0.2662182230453008
77tbedt"seat"t"toilet"t0.0t-0.15648808306756196
78tbedt"shutoff valve"t"toilet"t0.0t-0.24615005853261612
79tbedt"trip lever"t"toilet"t0.0t-0.22114916696603376
80tbedtball-cock supply valvet"toilet"t0.0t0.01274823621680068
81tbedt"toilet bowl"t"toilet"t0.0t-0.32989093200003555
82tbedtflush handlet"toilet"t0.0t-0.20060107051790932
83tbedtwax sealt"toilet"t0.0t-0.22667195688150069
84tbedt"tank ball"t"toilet"t0.0t-0.2671769677546059
85tbedt"float ball"t"toilet"t0.0t-0.24905606612131415
86tbedt"filler tube"t"toilet"t0.0t-0.15927217002353175
87tbedt"waste pipe"t"toilet"t0.0t-0.2510968132765634
88tbedt"seat cover"t"toilet"t0.0t-0.3076481885029018
89tbedt"cold-water supply line"t"toilet"t0.0t-0.09563244116674091
90tbedt"overflow tube"t"toilet"t0.0t-0.1749735188096299
91tbedt"trap"t"toilet"t0.0t-0.18198947469922466
92tbedt"refill tube"t"toilet"t0.0t-0.21729104470091642
93t"refrigerator"tpillowtbedt0.0t0.09123970741872539
94t"refrigerator"t"bolster"tbedt0.0t0.07466736138934929
95t"refrigerator"t"mattress cover"tbedt0.0t-0.16265034297896414
96t"refrigerator"tlegtbedt0.0t0.09034630237324694
97t"refrigerator"tbox springtbedt0.0t-0.07008184132841005
98t"refrigerator"theadboardtbedt0.0t0.026529694339248972
99t"refrigerator"t"mattress"tbedt0.0t-0.006050840757562279
100t"refrigerator"t"pillow protector"tbedt0.0t0.04619714302977996
101t"refrigerator"t"elastic"tbedt0.0t0.07487403511018081
102t"refrigerator"t"footboard"tbedt0.0t-0.0087667312375906
103t"refrigerator"t"switch"t"refrigerator"t1.0t0.05943257470701234
104t"refrigerator"t"refrigerator compartment"t"refrigerator"t1.0t-0.017393628792477054
105t"refrigerator"t"egg tray"t"refrigerator"t1.0t-0.07156614978095546
106t"refrigerator"tshelf channelt"refrigerator"t1.0t0.058949422264882645
107t"refrigerator"t"magnetic gasket"t"refrigerator"t1.0t0.10101388610146149
108t"refrigerator"t"storage door"t"refrigerator"t1.0t-0.13314831777097055
109t"refrigerator"tfreezer doort"refrigerator"t1.0t-0.05216451206702189
110t"refrigerator"tguard railt"refrigerator"t1.0t-0.02324583455894139
111t"refrigerator"tcrispert"refrigerator"t1.0t0.00891819080150859
112t"refrigerator"tglass covert"refrigerator"t1.0t0.12161879742570185
113t"refrigerator"t"butter compartment"t"refrigerator"t1.0t0.13113113689466932
114t"refrigerator"t"thermostat control"t"refrigerator"t1.0t0.06865145508395473
115t"refrigerator"t"freezer compartment"t"refrigerator"t1.0t-0.013655634982908456
116t"refrigerator"t"ice cube tray"t"refrigerator"t1.0t-0.1555825988093201
117t"refrigerator"t"meat keeper"t"refrigerator"t1.0t0.03666303570905798
118t"refrigerator"t"door stop"t"refrigerator"t1.0t-0.1530112729817185
119t"refrigerator"tshelft"refrigerator"t1.0t0.11914925873043525
120t"refrigerator"t"dairy compartment"t"refrigerator"t1.0t-0.02010678053857557
121t"refrigerator"tdoor shelft"refrigerator"t1.0t-0.0960485997936196
122t"refrigerator"tdrain hosetdishwashert0.0t-0.028650486928807648
123t"refrigerator"t"overflow protection switch"tdishwashert0.0t0.04107314419667234
124t"refrigerator"t"tub"tdishwashert0.0t0.11469739675515031
125t"refrigerator"tpumptdishwashert0.0t0.05014845972811342
126t"refrigerator"t"gasket"tdishwashert0.0t0.018880485281862844
127t"refrigerator"t"water hose"tdishwashert0.0t-0.14654814545345032
128t"refrigerator"t"heating element"tdishwashert0.0t0.058392102014505155
129t"refrigerator"tracktdishwashert0.0t0.10332649827044667
130t"refrigerator"t"cutlery basket"tdishwashert0.0t0.1724657659695482
131t"refrigerator"t"wash tower"tdishwashert0.0t0.008497927409797443
132t"refrigerator"t"motor"tdishwashert0.0t0.05328213706278635
133t"refrigerator"t"detergent dispenser"tdishwashert0.0t0.16455200158071973
134t"refrigerator"tslidetdishwashert0.0t0.12817266301028526
135t"refrigerator"t"leveling foot"tdishwashert0.0t0.08007788987104682
136t"refrigerator"t"insulating material"tdishwashert0.0t0.10007188766167283
137t"refrigerator"tspray armtdishwashert0.0t0.10540467089794867
138t"refrigerator"trinse-aid dispensertdishwashert0.0t0.27369013436465073
139t"refrigerator"tlocktdoort0.0t0.1415730710425223
140t"refrigerator"tcornicetdoort0.0t0.16359324790322913
141t"refrigerator"t"hanging stile"tdoort0.0t-0.36554694056116516
142t"refrigerator"t"entablature"tdoort0.0t0.17586405889305395
143t"refrigerator"t"top rail"tdoort0.0t0.12081375887150334
144t"refrigerator"tmiddle paneltdoort0.0t0.08640728173029572
145t"refrigerator"t"bottom rail"tdoort0.0t0.17045809511554053
146t"refrigerator"tpaneltdoort0.0t0.06673052139194662
147t"refrigerator"tjambtdoort0.0t-0.003656913496457662
148t"refrigerator"tdoorknobtdoort0.0t0.014903468600446706
149t"refrigerator"t"threshold"tdoort0.0t0.20398011766414273
150t"refrigerator"t"weatherboard"tdoort0.0t-0.12350326680807926
151t"refrigerator"tlock railtdoort0.0t-0.02726808032226043
152t"refrigerator"t"shutting stile"tdoort0.0t-0.5897267164034536
153t"refrigerator"theadertdoort0.0t0.10446002886097702
