troomt"object"t"subset"t"dataset_prob"tscore
0tbedtpillowtbedt1.0t0.9974982476800448
1tbedt"bolster"tbedt1.0t0.9828689192989183
2tbedt"mattress cover"tbedt1.0t0.9944415184256203
3tbedtlegtbedt1.0t0.9949630533933478
4tbedtbox springtbedt1.0t0.9927577980214597
5tbedtheadboardtbedt1.0t0.9915977547939672
6tbedt"mattress"tbedt1.0t0.9969474045880439
7tbedt"pillow protector"tbedt1.0t0.9905636715524466
8tbedt"elastic"tbedt1.0t0.9931452951771239
9tbedt"footboard"tbedt1.0t0.9923679347090151
10tbedt"switch"t"refrigerator"t0.0t0.9979735697515705
11tbedt"refrigerator compartment"t"refrigerator"t0.0t0.9968761086541926
12tbedt"egg tray"t"refrigerator"t0.0t0.9964984883498366
13tbedtshelf channelt"refrigerator"t0.0t0.9914363875324391
14tbedt"magnetic gasket"t"refrigerator"t0.0t0.9954750165199372
15tbedt"storage door"t"refrigerator"t0.0t0.995647651926535
16tbedtfreezer doort"refrigerator"t0.0t0.9960258429087525
17tbedtguard railt"refrigerator"t0.0t0.9934441830783091
18tbedtcrispert"refrigerator"t0.0t0.9836266045393269
19tbedtglass covert"refrigerator"t0.0t0.9959270472775951
20tbedt"butter compartment"t"refrigerator"t0.0t0.9961720982459661
21tbedt"thermostat control"t"refrigerator"t0.0t0.989771801578707
22tbedt"freezer compartment"t"refrigerator"t0.0t0.9959534257903094
23tbedt"ice cube tray"t"refrigerator"t0.0t0.9964082901794385
24tbedt"meat keeper"t"refrigerator"t0.0t0.9865574706467519
25tbedt"door stop"t"refrigerator"t0.0t0.9918993594742457
26tbedtshelft"refrigerator"t0.0t0.9932423909530949
27tbedt"dairy compartment"t"refrigerator"t0.0t0.9980055587099009
28tbedtdoor shelft"refrigerator"t0.0t0.9987759040549663
29tbedtdrain hosetdishwashert0.0t0.9953662918246681
30tbedt"overflow protection switch"tdishwashert0.0t0.9911684909741094
31tbedt"tub"tdishwashert0.0t0.9982066077387126
32tbedtpumptdishwashert0.0t0.996808497097977
33tbedt"gasket"tdishwashert0.0t0.9978916665248214
34tbedt"water hose"tdishwashert0.0t0.994652495626736
35tbedt"heating element"tdishwashert0.0t0.9923056164335389
36tbedtracktdishwashert0.0t0.9949571340673855
37tbedt"cutlery basket"tdishwashert0.0t0.9929225319818661
38tbedt"wash tower"tdishwashert0.0t0.9922470238109095
39tbedt"motor"tdishwashert0.0t0.9974647655282038
40tbedt"detergent dispenser"tdishwashert0.0t0.989480882786101
41tbedtslidetdishwashert0.0t0.9645140226121507
42tbedt"leveling foot"tdishwashert0.0t0.9861241469289366
43tbedt"insulating material"tdishwashert0.0t0.9946356081322539
44tbedtspray armtdishwashert0.0t0.9967117404245173
45tbedtrinse-aid dispensertdishwashert0.0t0.9900839892134312
46tbedtlocktdoort0.0t0.9956096700877881
47tbedtcornicetdoort0.0t0.9948157065640882
48tbedt"hanging stile"tdoort0.0t0.9930979267427157
49tbedt"entablature"tdoort0.0t0.9866128826931037
50tbedt"top rail"tdoort0.0t0.9891982342014425
51tbedtmiddle paneltdoort0.0t0.9875629038076499
52tbedt"bottom rail"tdoort0.0t0.9957758883726459
53tbedtpaneltdoort0.0t0.9713897660604094
54tbedtjambtdoort0.0t0.981863762733123
55tbedtdoorknobtdoort0.0t0.9865619502572669
56tbedt"threshold"tdoort0.0t0.9483529316277683
57tbedt"weatherboard"tdoort0.0t0.9932684907382024
58tbedtlock railtdoort0.0t0.9967379897471289
59tbedt"shutting stile"tdoort0.0t0.9819328389285036
60tbedtheadertdoort0.0t0.9807052429114765
61tbedtringt"mortise lock"t0.0t0.9956799451782027
62tbedtkeywayt"mortise lock"t0.0t0.9869161134309102
63tbedt"cotter pin"t"mortise lock"t0.0t0.9922518516667765
64tbedtspringt"mortise lock"t0.0t0.9866369763650309
65tbedt"rotor"t"mortise lock"t0.0t0.997255184023562
66tbedtcylinder caset"mortise lock"t0.0t0.996599048725508
67tbedtkeyt"mortise lock"t0.0t0.9770793025304282
68tbedt"faceplate"t"mortise lock"t0.0t0.9895790035490187
69tbedt"dead bolt"t"mortise lock"t0.0t0.9953086554651902
70tbedtcylindert"mortise lock"t0.0t0.9979377683470777
71tbedt"stator"t"mortise lock"t0.0t0.9838793213215374
72tbedt"strike plate"t"mortise lock"t0.0t0.9932416811157706
73tbedt"valve seat shaft"t"toilet"t0.0t0.9953438571310521
74tbedt"tank lid"t"toilet"t0.0t0.9929230244689262
75tbedtconical washert"toilet"t0.0t0.9946916105744696
76tbedt"lift chain"t"toilet"t0.0t0.997725699028125
77tbedt"seat"t"toilet"t0.0t0.9949174402290546
78tbedt"shutoff valve"t"toilet"t0.0t0.9913266427781143
79tbedt"trip lever"t"toilet"t0.0t0.9949045047631729
80tbedtball-cock supply valvet"toilet"t0.0t0.996784513875107
81tbedt"toilet bowl"t"toilet"t0.0t0.9937089632417656
82tbedtflush handlet"toilet"t0.0t0.9938712050919922
83tbedtwax sealt"toilet"t0.0t0.9954631443156168
84tbedt"tank ball"t"toilet"t0.0t0.9778897881883781
85tbedt"float ball"t"toilet"t0.0t0.9941759030026585
86tbedt"filler tube"t"toilet"t0.0t0.9920344072651139
87tbedt"waste pipe"t"toilet"t0.0t0.9964281983154166
88tbedt"seat cover"t"toilet"t0.0t0.9946170400009404
89tbedt"cold-water supply line"t"toilet"t0.0t0.9955735618233886
90tbedt"overflow tube"t"toilet"t0.0t0.99446483097008
91tbedt"trap"t"toilet"t0.0t0.9889764651286947
92tbedt"refill tube"t"toilet"t0.0t0.9940314585049004
93t"refrigerator"tpillowtbedt0.0t0.9884761425454371
94t"refrigerator"t"bolster"tbedt0.0t0.9705471619595568
95t"refrigerator"t"mattress cover"tbedt0.0t0.9843670210481102
96t"refrigerator"tlegtbedt0.0t0.9864430612605647
97t"refrigerator"tbox springtbedt0.0t0.9799723033025788
98t"refrigerator"theadboardtbedt0.0t0.9768060490182879
99t"refrigerator"t"mattress"tbedt0.0t0.9869346999441471
100t"refrigerator"t"pillow protector"tbedt0.0t0.9767980584306473
101t"refrigerator"t"elastic"tbedt0.0t0.9843663784212787
102t"refrigerator"t"footboard"tbedt0.0t0.9797595851931196
103t"refrigerator"t"switch"t"refrigerator"t1.0t0.9898443697547631
104t"refrigerator"t"refrigerator compartment"t"refrigerator"t1.0t0.9954339469704437
105t"refrigerator"t"egg tray"t"refrigerator"t1.0t0.9885055760273677
106t"refrigerator"tshelf channelt"refrigerator"t1.0t0.9778358834396047
107t"refrigerator"t"magnetic gasket"t"refrigerator"t1.0t0.98812120638958
108t"refrigerator"t"storage door"t"refrigerator"t1.0t0.9898244497108194
109t"refrigerator"tfreezer doort"refrigerator"t1.0t0.9911567805706962
110t"refrigerator"tguard railt"refrigerator"t1.0t0.9841096308117673
111t"refrigerator"tcrispert"refrigerator"t1.0t0.9716219982461807
112t"refrigerator"tglass covert"refrigerator"t1.0t0.9847767160479208
113t"refrigerator"t"butter compartment"t"refrigerator"t1.0t0.9849190929402716
114t"refrigerator"t"thermostat control"t"refrigerator"t1.0t0.9752237658111009
115t"refrigerator"t"freezer compartment"t"refrigerator"t1.0t0.9903008754610595
116t"refrigerator"t"ice cube tray"t"refrigerator"t1.0t0.9881232926262932
117t"refrigerator"t"meat keeper"t"refrigerator"t1.0t0.9760157745442309
118t"refrigerator"t"door stop"t"refrigerator"t1.0t0.9840147766325589
119t"refrigerator"tshelft"refrigerator"t1.0t0.9832339729860714
120t"refrigerator"t"dairy compartment"t"refrigerator"t1.0t0.9903613222877925
121t"refrigerator"tdoor shelft"refrigerator"t1.0t0.9911072633774606
122t"refrigerator"tdrain hosetdishwashert0.0t0.9875253874111153
123t"refrigerator"t"overflow protection switch"tdishwashert0.0t0.9792849501397958
124t"refrigerator"t"tub"tdishwashert0.0t0.9904291440855957
125t"refrigerator"tpumptdishwashert0.0t0.9925242409485996
126t"refrigerator"t"gasket"tdishwashert0.0t0.9888254496581061
127t"refrigerator"t"water hose"tdishwashert0.0t0.9854316026543282
128t"refrigerator"t"heating element"tdishwashert0.0t0.9843075054464093
129t"refrigerator"tracktdishwashert0.0t0.9858734149717309
130t"refrigerator"t"cutlery basket"tdishwashert0.0t0.9824123885989515
131t"refrigerator"t"wash tower"tdishwashert0.0t0.9838955949265703
132t"refrigerator"t"motor"tdishwashert0.0t0.9912857726431867
133t"refrigerator"t"detergent dispenser"tdishwashert0.0t0.982779939859465
134t"refrigerator"tslidetdishwashert0.0t0.9472300280570027
135t"refrigerator"t"leveling foot"tdishwashert0.0t0.9833926856817778
136t"refrigerator"t"insulating material"tdishwashert0.0t0.9877220131236055
137t"refrigerator"tspray armtdishwashert0.0t0.9880582647035964
138t"refrigerator"trinse-aid dispensertdishwashert0.0t0.9785893306149266
139t"refrigerator"tlocktdoort0.0t0.9895065280460262
140t"refrigerator"tcornicetdoort0.0t0.9886071402581298
141t"refrigerator"t"hanging stile"tdoort0.0t0.9812863094778767
142t"refrigerator"t"entablature"tdoort0.0t0.977698700780214
143t"refrigerator"t"top rail"tdoort0.0t0.9769547018135042
144t"refrigerator"tmiddle paneltdoort0.0t0.9738379990512792
145t"refrigerator"t"bottom rail"tdoort0.0t0.9867748766943133
146t"refrigerator"tpaneltdoort0.0t0.9523007258617742
147t"refrigerator"tjambtdoort0.0t0.9645164880820856
148t"refrigerator"tdoorknobtdoort0.0t0.9723556754262465
149t"refrigerator"t"threshold"tdoort0.0t0.9505236285294403
150t"refrigerator"t"weatherboard"tdoort0.0t0.9795187603065753
151t"refrigerator"tlock railtdoort0.0t0.9898358476407759
152t"refrigerator"t"shutting stile"tdoort0.0t0.9688255394167291
153t"refrigerator"theadertdoort0.0t0.9625714019313275
154t"refrigerator"tringt"mortise lock"t0.0t0.98602079134372
155t"refrigerator"tkeywayt"mortise lock"t0.0t0.9715325412588741
156t"refrigerator"t"cotter pin"t"mortise lock"t0.0t0.9837278638126313
157t"refrigerator"tspringt"mortise lock"t0.0t0.9750716406041545
158t"refrigerator"t"rotor"t"mortise lock"t0.0t0.9896221424165272
159t"refrigerator"tcylinder caset"mortise lock"t0.0t0.9873774909013372
160t"refrigerator"tkeyt"mortise lock"t0.0t0.9610997289650461
161t"refrigerator"t"faceplate"t"mortise lock"t0.0t0.9778159535416674
