troomt"object"t"subset"t"dataset_prob"tscore
0tbedtpillowtbedt1.0t0.7152085535911507
1tbedt"bolster"tbedt1.0t0.3161206286431813
2tbedt"mattress cover"tbedt1.0t0.658266224504544
3tbedtlegtbedt1.0t0.4322011436478854
4tbedtbox springtbedt1.0t0.4978280685745473
5tbedtheadboardtbedt1.0t0.6510794320832671
6tbedt"mattress"tbedt1.0t0.7206447170017515
7tbedt"pillow protector"tbedt1.0t0.6532703967032373
8tbedt"elastic"tbedt1.0t0.31640292112852947
9tbedt"footboard"tbedt1.0t0.5622289868124277
10tbedt"switch"t"refrigerator"t0.0t0.35774753912534013
11tbedt"refrigerator compartment"t"refrigerator"t0.0t0.49772851765993154
12tbedt"egg tray"t"refrigerator"t0.0t0.5203470030515928
13tbedtshelf channelt"refrigerator"t0.0t0.4926350994591559
14tbedt"magnetic gasket"t"refrigerator"t0.0t0.37874159513406036
15tbedt"storage door"t"refrigerator"t0.0t0.5467946824620967
16tbedtfreezer doort"refrigerator"t0.0t0.5342120229514509
17tbedtguard railt"refrigerator"t0.0t0.4915448128340234
18tbedtcrispert"refrigerator"t0.0t0.2658471749381797
19tbedtglass covert"refrigerator"t0.0t0.5081070140128645
20tbedt"butter compartment"t"refrigerator"t0.0t0.427204347036229
21tbedt"thermostat control"t"refrigerator"t0.0t0.40372179643622463
22tbedt"freezer compartment"t"refrigerator"t0.0t0.4757462467850021
23tbedt"ice cube tray"t"refrigerator"t0.0t0.5026069570431011
24tbedt"meat keeper"t"refrigerator"t0.0t0.4201843642038096
25tbedt"door stop"t"refrigerator"t0.0t0.47949953084303903
26tbedtshelft"refrigerator"t0.0t0.4704180769393169
27tbedt"dairy compartment"t"refrigerator"t0.0t0.38970038542768737
28tbedtdoor shelft"refrigerator"t0.0t0.5558634426216248
29tbedtdrain hosetdishwashert0.0t0.44268611845521466
30tbedt"overflow protection switch"tdishwashert0.0t0.44475904849643466
31tbedt"tub"tdishwashert0.0t0.5590743898300491
32tbedtpumptdishwashert0.0t0.41816539092334115
33tbedt"gasket"tdishwashert0.0t0.32686769510732716
34tbedt"water hose"tdishwashert0.0t0.48225046873910693
35tbedt"heating element"tdishwashert0.0t0.38669012312264595
36tbedtracktdishwashert0.0t0.3874497673918927
37tbedt"cutlery basket"tdishwashert0.0t0.5013789274209686
38tbedt"wash tower"tdishwashert0.0t0.5535367592094573
39tbedt"motor"tdishwashert0.0t0.3317866118235695
40tbedt"detergent dispenser"tdishwashert0.0t0.3316663943892152
41tbedtslidetdishwashert0.0t0.3898476176057194
42tbedt"leveling foot"tdishwashert0.0t0.47635447782458573
43tbedt"insulating material"tdishwashert0.0t0.41161036556669717
44tbedtspray armtdishwashert0.0t0.47404727165296556
45tbedtrinse-aid dispensertdishwashert0.0t0.3433730295142132
46tbedtlocktdoort0.0t0.3851753152902948
47tbedtcornicetdoort0.0t0.2825930980895469
48tbedt"hanging stile"tdoort0.0t0.43276884002190336
49tbedt"entablature"tdoort0.0t0.24088868186475543
50tbedt"top rail"tdoort0.0t0.5068195873514574
51tbedtmiddle paneltdoort0.0t0.44789696357029457
52tbedt"bottom rail"tdoort0.0t0.5016190559625833
53tbedtpaneltdoort0.0t0.3339430538782556
54tbedtjambtdoort0.0t0.2815931356278809
55tbedtdoorknobtdoort0.0t0.3904786511452576
56tbedt"threshold"tdoort0.0t0.31524698148576125
57tbedt"weatherboard"tdoort0.0t0.35236955262689373
58tbedtlock railtdoort0.0t0.4994262574856229
59tbedt"shutting stile"tdoort0.0t0.4073710619646981
60tbedtheadertdoort0.0t0.29999031065207316
61tbedtringt"mortise lock"t0.0t0.32963173110453586
62tbedtkeywayt"mortise lock"t0.0t0.2305953190795568
63tbedt"cotter pin"t"mortise lock"t0.0t0.39966549192735534
64tbedtspringt"mortise lock"t0.0t0.3738284145442738
65tbedt"rotor"t"mortise lock"t0.0t0.2788791627968449
66tbedtcylinder caset"mortise lock"t0.0t0.4270914920924239
67tbedtkeyt"mortise lock"t0.0t0.26359204057494706
68tbedt"faceplate"t"mortise lock"t0.0t0.31621301645778993
69tbedt"dead bolt"t"mortise lock"t0.0t0.5038553400516073
70tbedtcylindert"mortise lock"t0.0t0.3878086047977668
71tbedt"stator"t"mortise lock"t0.0t0.19778801936794552
72tbedt"strike plate"t"mortise lock"t0.0t0.4161075822551529
73tbedt"valve seat shaft"t"toilet"t0.0t0.5107109319910206
74tbedt"tank lid"t"toilet"t0.0t0.43929364011394245
75tbedtconical washert"toilet"t0.0t0.4085879791674938
76tbedt"lift chain"t"toilet"t0.0t0.4269266619045131
77tbedt"seat"t"toilet"t0.0t0.48629929624793433
