troomt"object"t"subset"t"dataset_prob"tscore
0tbedtpillowtbedt1.0t0.47627757874680604
1tbedt"bolster"tbedt1.0t0.1487356293860381
2tbedt"mattress cover"tbedt1.0t0.3496029323092801
3tbedtlegtbedt1.0t0.2027634352369283
4tbedtbox springtbedt1.0t0.20285975843465537
5tbedtheadboardtbedt1.0t0.4569191538121283
6tbedt"mattress"tbedt1.0t0.5006970570487328
7tbedt"pillow protector"tbedt1.0t0.36796431671252566
8tbedt"elastic"tbedt1.0t0.1322120492600245
9tbedt"footboard"tbedt1.0t0.3853841410525219
10tbedt"switch"t"refrigerator"t0.0t0.15736403371988658
11tbedt"refrigerator compartment"t"refrigerator"t0.0t0.25404652833914804
12tbedt"egg tray"t"refrigerator"t0.0t0.2541066788751869
13tbedtshelf channelt"refrigerator"t0.0t0.24518201382385912
14tbedt"magnetic gasket"t"refrigerator"t0.0t0.12807244514683463
15tbedt"storage door"t"refrigerator"t0.0t0.22880533909344333
16tbedtfreezer doort"refrigerator"t0.0t0.2558360035369025
17tbedtguard railt"refrigerator"t0.0t0.22139933611215998
18tbedtcrispert"refrigerator"t0.0t0.12358786209506299
19tbedtglass covert"refrigerator"t0.0t0.2295140500820638
20tbedt"butter compartment"t"refrigerator"t0.0t0.17483047892571033
21tbedt"thermostat control"t"refrigerator"t0.0t0.19016174582621373
22tbedt"freezer compartment"t"refrigerator"t0.0t0.21126132681135892
23tbedt"ice cube tray"t"refrigerator"t0.0t0.21537775311745658
24tbedt"meat keeper"t"refrigerator"t0.0t0.17154583095134548
25tbedt"door stop"t"refrigerator"t0.0t0.16915578496105885
26tbedtshelft"refrigerator"t0.0t0.25959340256546126
27tbedt"dairy compartment"t"refrigerator"t0.0t0.1830065381787896
28tbedtdoor shelft"refrigerator"t0.0t0.26857149271683145
29tbedtdrain hosetdishwashert0.0t0.21742622228530742
30tbedt"overflow protection switch"tdishwashert0.0t0.11418820316552479
31tbedt"tub"tdishwashert0.0t0.32326701757516285
32tbedtpumptdishwashert0.0t0.20597680724238987
33tbedt"gasket"tdishwashert0.0t0.15214069859824828
34tbedt"water hose"tdishwashert0.0t0.22871100743428907
35tbedt"heating element"tdishwashert0.0t0.1562691746469114
36tbedtracktdishwashert0.0t0.18457969984741043
37tbedt"cutlery basket"tdishwashert0.0t0.2375444765598112
38tbedt"wash tower"tdishwashert0.0t0.25843147854468995
39tbedt"motor"tdishwashert0.0t0.1587358231857022
40tbedt"detergent dispenser"tdishwashert0.0t0.10192176994422761
41tbedtslidetdishwashert0.0t0.20186269951869895
42tbedt"leveling foot"tdishwashert0.0t0.2208787469549651
43tbedt"insulating material"tdishwashert0.0t0.17464638752959408
44tbedtspray armtdishwashert0.0t0.20400606790693374
