troomt"object"t"subset"t"dataset_prob"tscore
0tbedtpillowtbedt1.0t0.50914943
1tbedt"bolster"tbedt1.0t0.43099886
2tbedt"mattress cover"tbedt1.0t0.55109817
3tbedtlegtbedt1.0t0.28784457
4tbedtbox springtbedt1.0t0.5278848
5tbedtheadboardtbedt1.0t0.5003952
6tbedt"mattress"tbedt1.0t0.5799555
7tbedt"pillow protector"tbedt1.0t0.510952
8tbedt"elastic"tbedt1.0t0.2815448
9tbedt"footboard"tbedt1.0t0.47273958
10tbedt"switch"t"refrigerator"t0.0t0.33663905
11tbedt"refrigerator compartment"t"refrigerator"t0.0t0.40890896
12tbedt"egg tray"t"refrigerator"t0.0t0.38539904
13tbedtshelf channelt"refrigerator"t0.0t0.46410593
14tbedt"magnetic gasket"t"refrigerator"t0.0t0.34249255
15tbedt"storage door"t"refrigerator"t0.0t0.42448103
16tbedtfreezer doort"refrigerator"t0.0t0.4376955
17tbedtguard railt"refrigerator"t0.0t0.44833475
18tbedtcrispert"refrigerator"t0.0t0.30478647
19tbedtglass covert"refrigerator"t0.0t0.36707732
20tbedt"butter compartment"t"refrigerator"t0.0t0.43190557
21tbedt"thermostat control"t"refrigerator"t0.0t0.39373982
22tbedt"freezer compartment"t"refrigerator"t0.0t0.42835006
23tbedt"ice cube tray"t"refrigerator"t0.0t0.42124903
24tbedt"meat keeper"t"refrigerator"t0.0t0.38412297
25tbedt"door stop"t"refrigerator"t0.0t0.47597253
26tbedtshelft"refrigerator"t0.0t0.42748186
27tbedt"dairy compartment"t"refrigerator"t0.0t0.41989872
28tbedtdoor shelft"refrigerator"t0.0t0.48910257
29tbedtdrain hosetdishwashert0.0t0.41455743
30tbedt"overflow protection switch"tdishwashert0.0t0.3985811
31tbedt"tub"tdishwashert0.0t0.35431284
32tbedtpumptdishwashert0.0t0.34563738
33tbedt"gasket"tdishwashert0.0t0.37221307
34tbedt"water hose"tdishwashert0.0t0.3977865
35tbedt"heating element"tdishwashert0.0t0.4123207
36tbedtracktdishwashert0.0t0.3950357
37tbedt"cutlery basket"tdishwashert0.0t0.44562572
38tbedt"wash tower"tdishwashert0.0t0.42556155
39tbedt"motor"tdishwashert0.0t0.29339087
40tbedt"detergent dispenser"tdishwashert0.0t0.43282014
